gender,center,year,days,postal,same_route,r_fastest,r_cheapest,r_confortable,r_onlyoption,r_environmental,r_healthiest,r_needprivate,total_travels,private_ratio,public_ratio,active_ratio,Latitude,Longitude,Distance
Woman,ETSAB,First,6,8029.0,No,Yes,No,No,No,Yes,No,No,2,0.0,0.5,0.5,41.38660270361248,2.14637941543514,2.956172645857166
Man,ETSETB,Second,5,8902.0,Yes,No,No,Yes,No,No,No,No,3,1.0,0.0,0.0,41.36432838572562,2.125288497065821,2.888881985150128
Woman,FME,First,5,8027.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.42210114836013,2.1859659655305466,7.315332171609159
Woman,ETSAV,Third,5,8186.0,Yes,Yes,No,No,No,No,No,Yes,1,1.0,0.0,0.0,41.61372710769231,2.226858523076923,26.86503286678032
Man,ETSEIB,Third,4,8018.0,Yes,Yes,No,Yes,No,No,No,No,1,1.0,0.0,0.0,41.40354271634696,2.191752814178482,6.962340961738018
Woman,ETSAB,Third,4,8950.0,Yes,Yes,No,No,No,Yes,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37410139552239,2.0887492253731343,2.4264062428862068
Man,EPSEB,Fourth,3,8030.0,Yes,Yes,No,Yes,No,No,No,No,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,41.43484115544712,2.191761195383804,8.515615293430308
Woman,ETSEIB,Second,3,8903.0,Yes,Yes,No,No,No,No,Yes,No,3,0.0,0.6666666666666666,0.3333333333333333,41.37170643939394,2.125971808080808,2.2001050805374645
Woman,EEABB,Fourth,5,8211.0,Yes,Yes,No,No,No,No,No,No,2,0.5,0.0,0.5,41.61295263993711,2.090078946855346,25.04125661908901
Man,ETSEIB,Third,3,8028.0,Yes,No,No,Yes,No,No,Yes,No,1,0.0,0.0,1.0,41.37818948080073,2.1252601017288444,1.6130676235951116
Woman,EEBE,Fourth,5,8500.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,1.0,0.0,41.931520964245806,2.247378707541899,61.42087467264051
Man,FME,Second,1,8003.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.38661773595934,2.180351266454892,5.795446271750349
Man,ETSEIB,Second,5,8020.0,Yes,No,Yes,No,No,Yes,No,No,2,0.0,1.0,0.0,41.42075345,2.201856531962617,8.414853093004373
Man,EPSEB,Fourth,4,8830.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.34098182222222,2.042815538132808,7.742302268794167
Woman,EPSEM,First,5,8330.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,1.0,0.0,41.49088526115108,2.35605958057554,23.44410089433645
Man,ETSECCPB,Second,3,8960.0,Yes,Yes,No,No,No,Yes,No,No,2,0.0,1.0,0.0,41.38440937272728,2.065374928409091,3.8446603267534
Woman,EPSEVG,Fourth,3,8028.0,Yes,No,No,Yes,No,No,No,No,3,0.0,1.0,0.0,41.37818948080073,2.1252601017288444,1.6130676235951116
Woman,FIB,First,4,8022.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.4054879245283,2.135506636792453,2.81531926980836
Man,EPSEM,Fourth,5,8243.0,Yes,No,No,No,No,No,No,Yes,2,0.0,0.0,1.0,41.726803044117645,1.839067802941176,43.93821109235909
Man,FIB,Second,5,8205.0,No,Yes,Yes,No,No,No,No,No,6,0.0,0.5,0.5,41.5402764,2.095379806896552,16.958798757986184
Woman,EETAC,Second,5,8338.0,Yes,No,Yes,No,No,No,No,No,3,0.0,1.0,0.0,41.50063153103448,2.358953217241379,24.19550367569376
Man,ETSAB,Second,5,9850.0,Yes,Yes,No,No,No,No,No,No,2,0.0,0.5,0.5,19.4332654,-99.19277726482248,9504.207741431204
Man,ETSAB,First,3,8921.0,No,Yes,No,No,No,No,No,No,2,0.0,1.0,0.0,41.45381506058794,2.211165460936721,11.10683556246773
Woman,ESEIAAT,First,5,8172.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,0.5,0.5,41.470471629268296,2.0830830280487804,9.449685862507694
Woman,ETSAB,First,4,8221.0,No,Yes,No,Yes,No,No,No,No,6,0.0,0.6666666666666666,0.3333333333333333,41.56426562711864,2.011561513559322,21.2645722256118
Man,ETSEIB,Second,5,8028.0,Yes,Yes,No,No,No,No,Yes,No,3,0.0,0.0,1.0,41.37818948080073,2.1252601017288444,1.6130676235951116
Man,ETSAB,Third,5,8011.0,Yes,Yes,No,No,No,No,No,No,3,0.0,1.0,0.0,41.3843794375,2.1589732145,4.0258558548027
Woman,EEABB,First,5,8222.0,Yes,No,Yes,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.56425558888889,2.0251177222222223,20.846935000968863
Man,FIB,Second,5,8340.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.50276299863014,2.386750187671233,26.325073950760032
Woman,ETSECCPB,Second,5,8903.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37170643939394,2.125971808080808,2.2001050805374645
Woman,ETSEIB,Fourth,5,8029.0,Yes,Yes,No,No,No,No,No,No,1,0.0,1.0,0.0,41.38660270361248,2.14637941543514,2.956172645857166
Man,ESEIAAT,Fourth,3,8202.0,Yes,No,No,No,No,Yes,Yes,No,3,0.0,0.3333333333333333,0.6666666666666666,41.54579316153846,2.117872476923077,17.529836769264648
Man,FOOT,Third,3,8222.0,Yes,Yes,No,No,No,No,No,No,1,0.0,0.0,1.0,41.56425558888889,2.0251177222222223,20.846935000968863
Woman,ESEIAAT,Fourth,1,8020.0,Yes,Yes,No,No,No,No,No,Yes,3,0.3333333333333333,0.0,0.6666666666666666,41.42075345,2.201856531962617,8.414853093004373
Woman,ETSAB,First,5,8015.0,Yes,Yes,No,No,Yes,No,No,No,2,0.0,1.0,0.0,41.37769295381944,2.157903889236111,4.0811379716437495
Man,EEBE,Second,4,8009.0,No,Yes,No,No,No,No,No,No,5,0.0,0.8,0.2,41.39476750185759,2.1693062801857588,4.926195594374371
Man,EEBE,Third,5,8013.0,No,Yes,Yes,No,No,No,No,No,6,0.0,0.3333333333333333,0.6666666666666666,41.40034991558655,2.178255983593109,5.781462018023745
Woman,ETSECCPB,First,5,8221.0,No,No,No,No,Yes,No,No,No,5,0.0,0.6,0.4,41.56426562711864,2.011561513559322,21.2645722256118
Man,ETSEIB,Fourth,3,8950.0,Yes,Yes,Yes,No,No,No,No,No,1,1.0,0.0,0.0,41.37410139552239,2.0887492253731343,2.4264062428862068
Woman,ETSAB,Third,5,8750.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.41109251081081,2.019148627027027,8.103490952947098
Woman,ETSEIB,Fourth,5,8021.0,Yes,No,No,No,No,Yes,Yes,No,3,0.0,0.0,1.0,41.39623459653333,2.1414057384,2.6941059454559344
Woman,ETSAB,Second,5,8004.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.36674053939394,2.1579540622895625,4.578869966263394
Man,EETAC,Fourth,5,8901.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.36177004311927,2.10426013440367,2.9728101549659915
Man,FIB,First,5,8391.0,Yes,No,No,No,Yes,No,No,No,3,0.0,1.0,0.0,41.481761689473686,2.2657743210526315,16.598206112760472
Woman,ETSAB,First,3,8100.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.53956503564815,2.213567934259259,18.88154630414079
Man,ESEIAAT,First,4,8849.0,Yes,No,No,No,Yes,No,No,No,3,0.0,1.0,0.0,41.3371031,1.9970430666666668,11.093134205147088
Woman,EEABB,Third,5,8850.0,Yes,Yes,No,Yes,No,No,No,No,1,1.0,0.0,0.0,41.28276916601941,2.0145235427184467,14.213448206259708
Woman,ETSECCPB,Third,5,8800.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.22357625993385,1.7172047798305676,37.70504617773941
Man,ETSETB,First,5,8028.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.0,1.0,41.37818948080073,2.1252601017288444,1.6130676235951116
Man,ETSEIB,Fourth,6,8022.0,Yes,Yes,No,No,No,No,No,No,3,1.0,0.0,0.0,41.4054879245283,2.135506636792453,2.81531926980836
Man,EEBE,First,5,8004.0,Yes,Yes,No,No,No,Yes,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.36674053939394,2.1579540622895625,4.578869966263394
Man,EEBE,Second,5,8172.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.470471629268296,2.0830830280487804,9.449685862507694
Man,EEABB,First,4,8031.0,Yes,No,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.430806620215634,2.1651396603773585,6.556434297087386
Woman,FIB,First,4,8036.0,Yes,Yes,Yes,No,No,No,No,No,1,0.0,1.0,0.0,41.38986816722689,2.1517556033613445,3.4075132374150914
Man,ETSETB,First,3,8205.0,No,No,Yes,No,No,Yes,No,No,5,0.0,0.6,0.4,41.5402764,2.095379806896552,16.958798757986184
Man,ETSAB,First,3,8011.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.3843794375,2.1589732145,4.0258558548027
Woman,ETSAB,First,5,8140.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.63196876842105,2.1666461657894738,27.48596600900241
Man,EEBE,First,5,8032.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.0,1.0,41.42263923355818,2.1613303767284995,5.693615561251612
Woman,FOOT,First,4,8184.0,Yes,Yes,No,Yes,No,No,No,No,1,1.0,0.0,0.0,41.57974799090909,2.177184563636364,21.995821142364218
Man,EEBE,Second,5,8034.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.39371482472387,2.117848473831776,0.8468604032086408
Man,FIB,Third,4,8014.0,Yes,Yes,Yes,No,No,No,No,No,3,1.0,0.0,0.0,41.37554342468619,2.136406735983264,2.532082851110252
Man,ETSEIB,Fourth,5,8036.0,Yes,No,Yes,No,No,Yes,No,No,3,0.0,0.0,1.0,41.38986816722689,2.1517556033613445,3.4075132374150914
Man,ETSECCPB,Fourth,5,8028.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37818948080073,2.1252601017288444,1.6130676235951116
Woman,EEBE,Second,4,8027.0,Yes,No,Yes,No,Yes,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.42210114836013,2.1859659655305466,7.315332171609159
Man,EETAC,Second,5,8860.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.26427774933655,1.9313480034981907,20.38020477160429
Woman,ETSEIB,Fourth,5,8028.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.37818948080073,2.1252601017288444,1.6130676235951116
Man,EEBE,Third,5,8019.0,Yes,No,No,Yes,No,Yes,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.41041306597938,2.209021340206186,8.558476142961334
Woman,ETSEIB,Third,5,8008.0,No,Yes,No,No,No,No,Yes,No,6,0.5,0.0,0.5,41.396047115985134,2.160624880669145,4.237462474813749
Man,ESEIAAT,Third,5,8192.0,Yes,Yes,Yes,No,No,No,No,No,3,0.6666666666666666,0.0,0.3333333333333333,41.53270137714286,2.075325182857142,16.34208993516103
Man,EEBE,Fourth,5,8012.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,1.0,0.0,41.40275668087548,2.1569115219719506,4.166350464626095
Woman,EETAC,Third,5,8860.0,Yes,No,Yes,No,No,Yes,No,No,1,1.0,0.0,0.0,41.26427774933655,1.9313480034981907,20.38020477160429
Woman,ETSAB,First,5,8912.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,1.0,0.0,41.44363350805195,2.240403894805195,12.450328346091144
Man,EPSEM,First,5,8840.0,Yes,No,Yes,No,No,No,No,No,2,0.5,0.5,0.0,41.31476620344828,2.0159679862068964,11.383637000140949
Woman,EPSEVG,Fourth,3,8290.0,Yes,No,Yes,No,No,No,No,No,3,0.3333333333333333,0.6666666666666666,0.0,41.49042106822917,2.1386554125,11.601900107089728
Man,EEBE,Third,5,8030.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.0,1.0,41.43484115544712,2.191761195383804,8.515615293430308
Man,EPSEM,First,4,8242.0,Yes,No,No,Yes,No,No,No,Yes,1,1.0,0.0,0.0,41.73079093225807,1.825638696774193,44.90162952906903
Woman,ESEIAAT,Fourth,2,8150.0,Yes,No,No,No,No,No,No,Yes,3,1.0,0.0,0.0,41.55966317391304,2.222312944481605,21.20478889661135
Man,ESEIAAT,Fourth,1,8170.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.552106253968255,2.261025371428571,22.111331254694093
Woman,EEABB,Fourth,5,8860.0,Yes,No,Yes,No,No,No,No,No,1,0.0,0.0,1.0,41.26427774933655,1.9313480034981907,20.38020477160429
Woman,ETSAV,Fourth,5,8024.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.41110394556075,2.1594220838785048,4.785385490636497
Woman,ETSECCPB,Second,5,8029.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,1.0,0.0,41.38660270361248,2.14637941543514,2.956172645857166
Man,EEBE,Second,4,8027.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.42210114836013,2.1859659655305466,7.315332171609159
Man,EETAC,Fourth,1,8800.0,Yes,No,No,Yes,No,No,Yes,No,3,0.0,0.3333333333333333,0.6666666666666666,41.22357625993385,1.7172047798305676,37.70504617773941
Man,EEBE,Fourth,3,8042.0,Yes,Yes,No,No,No,Yes,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.44582190816,2.17393302264,8.293966067277841
Woman,EEABB,First,5,8979.0,Yes,No,No,No,Yes,Yes,No,No,2,0.0,0.5,0.5,40.3415417,-3.8420606,515.0543613445162
Man,FNB,Second,2,8950.0,Yes,No,No,Yes,No,Yes,No,No,3,1.0,0.0,0.0,41.37410139552239,2.0887492253731343,2.4264062428862068
Woman,FME,First,5,8042.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.44582190816,2.17393302264,8.293966067277841
Woman,ETSECCPB,Third,1,8036.0,No,Yes,Yes,No,No,No,No,No,2,0.0,1.0,0.0,41.38986816722689,2.1517556033613445,3.4075132374150914
Man,EETAC,Fourth,5,8026.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.41182252736954,2.185393102662407,6.751936546524625
Man,ETSEIB,First,4,8015.0,No,Yes,No,No,No,No,No,No,5,0.0,0.8,0.2,41.37769295381944,2.157903889236111,4.0811379716437495
Man,ETSEIB,Second,3,8030.0,Yes,Yes,No,Yes,No,No,No,No,3,1.0,0.0,0.0,41.43484115544712,2.191761195383804,8.515615293430308
Man,FIB,First,4,8930.0,No,Yes,No,Yes,No,No,No,No,6,0.0,1.0,0.0,41.42816950847583,2.2197942701115245,10.12337740984334
Man,EPSEVG,Third,4,8014.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37554342468619,2.136406735983264,2.532082851110252
Man,FIB,Third,5,8206.0,Yes,No,Yes,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.55452011585366,2.0914203768292685,18.562764355973894
Woman,ETSAB,First,5,8440.0,Yes,No,Yes,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.63996812321429,2.358397310714286,34.772225338745606
Man,ETSEIB,Third,5,8901.0,Yes,Yes,No,Yes,No,No,No,No,1,0.0,1.0,0.0,41.36177004311927,2.10426013440367,2.9728101549659915
Man,ETSEIB,Second,5,8013.0,Yes,No,Yes,No,No,Yes,No,No,1,0.0,1.0,0.0,41.40034991558655,2.178255983593109,5.781462018023745
Man,EEBE,Fourth,1,8172.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.470471629268296,2.0830830280487804,9.449685862507694
Man,EEBE,First,5,8340.0,Yes,Yes,No,No,No,Yes,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.50276299863014,2.386750187671233,26.325073950760032
Man,EEBE,Second,5,8870.0,Yes,No,No,Yes,No,No,No,No,2,0.5,0.0,0.5,41.23912464491274,1.808261547695094,30.273785003137416
Woman,ESEIAAT,First,5,8225.0,Yes,Yes,No,Yes,No,No,No,No,1,0.0,1.0,0.0,41.57555601627907,2.0045475325581394,22.64752581936345
Man,EEBE,First,5,8290.0,Yes,Yes,No,No,No,No,No,No,3,0.0,1.0,0.0,41.49042106822917,2.1386554125,11.601900107089728
Woman,EPSEB,Second,4,8028.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.37818948080073,2.1252601017288444,1.6130676235951116
Man,ETSEIB,First,5,8014.0,Yes,Yes,No,Yes,No,No,No,No,1,0.0,1.0,0.0,41.37554342468619,2.136406735983264,2.532082851110252
Man,ETSAB,First,4,8904.0,Yes,Yes,No,Yes,No,No,No,No,1,0.0,1.0,0.0,41.37349974528302,2.116355579245284,1.6737779012254774
Man,ETSEIB,Second,3,8016.0,Yes,Yes,No,No,No,Yes,No,No,2,0.0,0.5,0.5,41.43449825711711,2.1795576403603603,7.707002026861444
Man,EEBE,Fourth,4,8339.0,Yes,Yes,No,Yes,No,No,No,No,1,1.0,0.0,0.0,41.51626172136752,2.362357757692308,25.36952447680372
Man,FME,Third,5,8197.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,1.0,0.0,41.46115768571429,2.056643457142857,9.309087679282344
Man,FIB,First,5,8830.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.34098182222222,2.042815538132808,7.742302268794167
Woman,ETSEIB,Fourth,1,8015.0,Yes,Yes,No,No,No,No,No,No,3,1.0,0.0,0.0,41.37769295381944,2.157903889236111,4.0811379716437495
Man,ETSEIB,First,5,8003.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,0.5,0.5,41.38661773595934,2.180351266454892,5.795446271750349
Man,ETSAB,First,3,8006.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.0,1.0,41.40108785798995,2.149211508040201,3.502310723990852
Man,ESEIAAT,Third,5,8228.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.53588428,2.04592384,17.29910630563116
Man,EEBE,Fourth,4,8020.0,Yes,No,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.42075345,2.201856531962617,8.414853093004373
Man,ETSECCPB,Second,5,8029.0,Yes,Yes,No,Yes,No,No,No,No,2,0.0,0.5,0.5,41.38660270361248,2.14637941543514,2.956172645857166
Woman,ETSAB,First,5,8015.0,Yes,Yes,No,No,No,No,No,No,2,0.0,0.5,0.5,41.37769295381944,2.157903889236111,4.0811379716437495
Woman,FME,First,5,8391.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.481761689473686,2.2657743210526315,16.598206112760472
Man,FIB,First,4,8028.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37818948080073,2.1252601017288444,1.6130676235951116
Woman,EPSEB,Second,4,8013.0,Yes,No,Yes,Yes,No,No,No,No,2,0.0,0.5,0.5,41.40034991558655,2.178255983593109,5.781462018023745
Woman,ETSEIB,Fourth,5,8860.0,Yes,Yes,No,No,No,No,No,No,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,41.26427774933655,1.9313480034981907,20.38020477160429
Woman,FIB,First,5,8201.0,No,No,No,No,No,No,No,No,6,0.0,0.6666666666666666,0.3333333333333333,41.54684474057972,2.106155472463768,17.642274141111475
Man,ETSETB,Fourth,5,8029.0,Yes,Yes,No,Yes,No,No,No,No,1,0.0,1.0,0.0,41.38660270361248,2.14637941543514,2.956172645857166
Woman,EEABB,Fourth,1,8035.0,No,Yes,No,Yes,No,No,No,No,6,0.0,0.6666666666666666,0.3333333333333333,41.43076203989813,2.144511682003396,5.506786525149892
Woman,ETSAB,Third,5,8174.0,Yes,No,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.48533451707317,2.057483282926829,11.697799445055114
Woman,FOOT,First,4,8757.0,No,Yes,No,No,No,No,No,Yes,5,0.6,0.0,0.4,41.41733636893204,1.913733658252428,16.820622285560397
Woman,ETSETB,First,3,8221.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.56426562711864,2.011561513559322,21.2645722256118
Woman,ETSAB,First,3,8940.0,Yes,Yes,No,Yes,No,No,No,No,3,0.0,1.0,0.0,41.3607134625498,2.0793684824701195,4.031246496663568
Man,FOOT,First,4,8980.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.38462277623763,2.048059094554456,5.285429992578997
Woman,ETSETB,Second,5,8005.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.39960074427861,2.201018413598673,7.629993511144085
Man,FME,Fourth,5,8292.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.53444560178571,1.8701365321428567,25.87727278715144
Man,EPSEM,First,5,8242.0,Yes,Yes,No,No,Yes,No,No,No,3,0.0,0.0,1.0,41.73079093225807,1.825638696774193,44.90162952906903
Man,FIB,First,5,8016.0,Yes,No,Yes,No,Yes,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.43449825711711,2.1795576403603603,7.707002026861444
Man,ESEIAAT,Fourth,4,8202.0,Yes,Yes,No,Yes,No,No,No,No,1,1.0,0.0,0.0,41.54579316153846,2.117872476923077,17.529836769264648
Woman,FOOT,Second,4,8042.0,Yes,Yes,No,Yes,No,No,No,No,3,0.3333333333333333,0.0,0.6666666666666666,41.44582190816,2.17393302264,8.293966067277841
Non binary,EPSEB,Fourth,5,8029.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.38660270361248,2.14637941543514,2.956172645857166
Man,ESEIAAT,First,5,8025.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.40889555323325,2.1709480372979217,5.515904036968885
Man,ETSEIB,First,5,8970.0,Yes,Yes,No,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.3689774,2.063031009375,4.543343211547399
Man,EETAC,Fourth,1,8508.0,Yes,No,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,42.00766676,2.23528138,69.59261721260161
Woman,EEBE,Third,4,8018.0,Yes,Yes,Yes,No,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.40354271634696,2.191752814178482,6.962340961738018
Woman,FIB,Third,5,8560.0,Yes,No,No,No,Yes,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,42.00245703719008,2.285350914876033,69.76661200157686
Man,ETSEIB,First,4,8370.0,Yes,No,Yes,No,No,Yes,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.61457393809523,2.658684711904762,52.18663092633304
Man,FNB,First,5,8980.0,No,Yes,No,Yes,No,No,No,No,6,1.0,0.0,0.0,41.38462277623763,2.048059094554456,5.285429992578997
Woman,ETSAB,Third,5,8290.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,1.0,0.0,41.49042106822917,2.1386554125,11.601900107089728
Woman,EPSEVG,First,4,8033.0,Yes,No,No,No,Yes,No,No,No,1,0.0,1.0,0.0,41.45357462733485,2.18368908143508,9.477044951973047
Man,EETAC,Third,5,8014.0,Yes,No,Yes,Yes,No,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.37554342468619,2.136406735983264,2.532082851110252
Woman,FME,Third,5,8018.0,No,Yes,No,Yes,No,No,No,No,3,0.0,0.6666666666666666,0.3333333333333333,41.40354271634696,2.191752814178482,6.962340961738018
Man,ESEIAAT,Second,3,8033.0,Yes,Yes,No,Yes,No,No,No,No,3,1.0,0.0,0.0,41.45357462733485,2.18368908143508,9.477044951973047
Woman,ETSEIB,First,5,8711.0,Yes,No,No,No,Yes,No,No,No,3,0.3333333333333333,0.6666666666666666,0.0,41.60741882,1.64507004,45.91071602620428
Woman,FIB,First,5,8921.0,Yes,No,No,No,Yes,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.45381506058794,2.211165460936721,11.10683556246773
NR/DK,ETSETB,First,4,8402.0,Yes,Yes,No,No,No,No,No,Yes,3,0.0,0.6666666666666666,0.3333333333333333,41.60392092,2.290787645714285,28.284885074428946
Man,EPSEVG,First,5,8025.0,Yes,No,No,No,Yes,No,No,No,3,0.0,0.3333333333333333,0.6666666666666666,41.40889555323325,2.1709480372979217,5.515904036968885
Woman,ETSEIB,Second,5,8031.0,Yes,Yes,Yes,No,No,No,No,No,2,0.0,0.5,0.5,41.430806620215634,2.1651396603773585,6.556434297087386
