gender,center,year,days,postal,s1,s2,s3,same_route,r_fastest,r_cheapest,r_confortable,r_onlyoption,r_environmental,r_healthiest,r_needprivate,total_travels,Distance,active_ratio,private_ratio,public_ratio
Woman,ESEIAAT,Second,5,8014.0,On foot,Underground,FGC,Yes,Yes,No,No,Yes,No,No,No,3,2.532082851110252,0.3333333333333333,0.0,0.6666666666666666
Man,FIB,Third,2,8720.0,On foot,Bus,On foot,Yes,Yes,Yes,No,No,No,No,No,3,35.27853992534681,0.6666666666666666,0.0,0.3333333333333333
Woman,FIB,First,5,8031.0,Bus,On foot,On foot,No,Yes,No,Yes,No,No,No,No,6,6.556434297087386,0.5,0.0,0.5
Woman,ETSAB,First,6,8029.0,Underground,,,No,Yes,No,No,No,Yes,No,No,2,2.956172645857166,0.5,0.0,0.5
Man,ETSETB,Second,5,8902.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,No,No,Yes,No,No,No,No,3,2.888881985150128,0.0,1.0,0.0
Woman,FME,First,5,8027.0,On foot,Underground,On foot,Yes,Yes,Yes,No,No,No,No,No,3,7.315332171609159,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSAV,Third,5,8186.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,Yes,No,No,No,No,No,Yes,1,26.86503286678032,0.0,1.0,0.0
Man,ETSEIB,Third,4,8018.0,Combustion or electric motorcycle with non-renewable source charging,,,Yes,Yes,No,Yes,No,No,No,No,1,6.962340961738018,0.0,1.0,0.0
Woman,ETSAB,Third,4,8950.0,On foot,Tram,On foot,Yes,Yes,No,No,No,Yes,No,No,3,2.4264062428862068,0.6666666666666666,0.0,0.3333333333333333
Man,EPSEB,Fourth,3,8030.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Underground,On foot,Yes,Yes,No,Yes,No,No,No,No,3,8.515615293430308,0.3333333333333333,0.3333333333333333,0.3333333333333333
Woman,ETSEIB,Second,3,8903.0,Underground,Underground,On foot,Yes,Yes,No,No,No,No,Yes,No,3,2.2001050805374645,0.3333333333333333,0.0,0.6666666666666666
Woman,EEABB,Fourth,5,8211.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,On foot,Yes,Yes,No,No,No,No,No,No,2,25.04125661908901,0.5,0.5,0.0
Man,ETSEIB,Third,3,8028.0,On foot,,,Yes,No,No,Yes,No,No,Yes,No,1,1.6130676235951116,1.0,0.0,0.0
Woman,EEBE,Fourth,5,8500.0,Underground,Tram,,Yes,Yes,Yes,No,No,No,No,No,2,61.42087467264051,0.0,0.0,1.0
Man,FME,Second,1,8003.0,On foot,Underground,On foot,Yes,Yes,Yes,No,No,No,No,No,3,5.795446271750349,0.6666666666666666,0.0,0.3333333333333333
Man,ETSEIB,Second,5,8020.0,Underground,Bus,,Yes,No,Yes,No,No,Yes,No,No,2,8.414853093004373,0.0,0.0,1.0
Man,EPSEB,Fourth,4,8830.0,On foot,Bus,On foot,Yes,Yes,Yes,No,No,No,No,No,3,7.742302268794167,0.6666666666666666,0.0,0.3333333333333333
Woman,EPSEM,First,5,8330.0,Bus,Renfe,Bus,Yes,Yes,No,Yes,No,No,No,No,3,23.44410089433645,0.0,0.0,1.0
Man,ETSECCPB,Second,3,8960.0,FGC,Bus,,Yes,Yes,No,No,No,Yes,No,No,2,3.8446603267534,0.0,0.0,1.0
Woman,EPSEVG,Fourth,3,8028.0,Renfe,Renfe,Renfe,Yes,No,No,Yes,No,No,No,No,3,1.6130676235951116,0.0,0.0,1.0
Woman,FIB,First,4,8022.0,On foot,Bus,On foot,Yes,No,Yes,No,No,No,No,No,3,2.81531926980836,0.6666666666666666,0.0,0.3333333333333333
Man,EPSEM,Fourth,5,8243.0,On foot,On foot,,Yes,No,No,No,No,No,No,Yes,2,43.93821109235909,1.0,0.0,0.0
Man,FIB,Second,5,8205.0,On foot,FGC,On foot,No,Yes,Yes,No,No,No,No,No,6,16.958798757986184,0.5,0.0,0.5
Woman,EETAC,Second,5,8338.0,Bus,Bus,Bus,Yes,No,Yes,No,No,No,No,No,3,24.19550367569376,0.0,0.0,1.0
Man,ETSAB,Second,5,9850.0,On foot,Tram,,Yes,Yes,No,No,No,No,No,No,2,9504.207741431204,0.5,0.0,0.5
Man,ETSAB,First,3,8921.0,Underground,,,No,Yes,No,No,No,No,No,No,2,11.10683556246773,0.0,0.0,1.0
Woman,ESEIAAT,First,5,8172.0,On foot,FGC,,Yes,Yes,Yes,No,No,No,No,No,2,9.449685862507694,0.5,0.0,0.5
Woman,ETSAB,First,4,8221.0,On foot,FGC,Bus,No,Yes,No,Yes,No,No,No,No,6,21.2645722256118,0.3333333333333333,0.0,0.6666666666666666
Man,ETSEIB,Second,5,8028.0,Bicycle,Bicycle,Bicycle,Yes,Yes,No,No,No,No,Yes,No,3,1.6130676235951116,1.0,0.0,0.0
Man,ETSAB,Third,5,8011.0,Underground,Underground,Underground,Yes,Yes,No,No,No,No,No,No,3,4.0258558548027,0.0,0.0,1.0
Woman,EEABB,First,5,8222.0,On foot,FGC,Bus,Yes,No,Yes,No,Yes,No,No,No,3,20.846935000968863,0.3333333333333333,0.0,0.6666666666666666
Man,FIB,Second,5,8340.0,Renfe,Underground,On foot,Yes,No,Yes,No,No,No,No,No,3,26.325073950760032,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSECCPB,Second,5,8903.0,On foot,Underground,On foot,Yes,Yes,No,No,No,No,No,No,3,2.2001050805374645,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSEIB,Fourth,5,8029.0,Underground,,,Yes,Yes,No,No,No,No,No,No,1,2.956172645857166,0.0,0.0,1.0
Man,ESEIAAT,Fourth,3,8202.0,On foot,Renfe,On foot,Yes,No,No,No,No,Yes,Yes,No,3,17.529836769264648,0.6666666666666666,0.0,0.3333333333333333
Man,FOOT,Third,3,8222.0,On foot,,,Yes,Yes,No,No,No,No,No,No,1,20.846935000968863,1.0,0.0,0.0
Woman,ESEIAAT,Fourth,1,8020.0,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,Yes,No,No,No,No,No,Yes,3,8.414853093004373,0.6666666666666666,0.3333333333333333,0.0
Woman,ETSAB,First,5,8015.0,Underground,Underground,,Yes,Yes,No,No,Yes,No,No,No,2,4.0811379716437495,0.0,0.0,1.0
Man,EEBE,Second,4,8009.0,Bus,On foot,,No,Yes,No,No,No,No,No,No,5,4.926195594374371,0.2,0.0,0.8
Man,EEBE,Third,5,8013.0,On foot,On foot,Tram,No,Yes,Yes,No,No,No,No,No,6,5.781462018023745,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSECCPB,First,5,8221.0,On foot,FGC,Bus,No,No,No,No,Yes,No,No,No,5,21.2645722256118,0.4,0.0,0.6
Man,ETSEIB,Fourth,3,8950.0,Combustion or electric motorcycle with non-renewable source charging,,,Yes,Yes,Yes,No,No,No,No,No,1,2.4264062428862068,0.0,1.0,0.0
Woman,ETSAB,Third,5,8750.0,On foot,Bus,On foot,Yes,Yes,No,Yes,No,No,No,No,3,8.103490952947098,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSEIB,Fourth,5,8021.0,On foot,Bicycle,On foot,Yes,No,No,No,No,Yes,Yes,No,3,2.6941059454559344,1.0,0.0,0.0
Woman,ETSAB,Second,5,8004.0,Bicycle,Underground,Underground,Yes,Yes,No,Yes,No,No,No,No,3,4.578869966263394,0.3333333333333333,0.0,0.6666666666666666
Man,EETAC,Fourth,5,8901.0,FGC,Renfe,On foot,Yes,Yes,No,No,No,No,No,No,3,2.9728101549659915,0.3333333333333333,0.0,0.6666666666666666
Man,FIB,First,5,8391.0,Bus,Renfe,Underground,Yes,No,No,No,Yes,No,No,No,3,16.598206112760472,0.0,0.0,1.0
Woman,ETSAB,First,3,8100.0,On foot,Renfe,Underground,Yes,Yes,No,Yes,No,No,No,No,3,18.88154630414079,0.3333333333333333,0.0,0.6666666666666666
Man,ESEIAAT,First,4,8849.0,Bus,Renfe,FGC,Yes,No,No,No,Yes,No,No,No,3,11.093134205147088,0.0,0.0,1.0
Woman,EEABB,Third,5,8850.0,Combustion or electric motorcycle with non-renewable source charging,,,Yes,Yes,No,Yes,No,No,No,No,1,14.213448206259708,0.0,1.0,0.0
Woman,ETSECCPB,Third,5,8800.0,On foot,Bus,On foot,Yes,Yes,No,Yes,No,No,No,No,3,37.70504617773941,0.6666666666666666,0.0,0.3333333333333333
Man,ETSETB,First,5,8028.0,On foot,On foot,On foot,Yes,Yes,Yes,No,No,No,No,No,3,1.6130676235951116,1.0,0.0,0.0
Man,ETSEIB,Fourth,6,8022.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,Yes,No,No,No,No,No,No,3,2.81531926980836,0.0,1.0,0.0
Man,EEBE,First,5,8004.0,On foot,Underground,Tram,Yes,Yes,No,No,No,Yes,No,No,3,4.578869966263394,0.3333333333333333,0.0,0.6666666666666666
Man,EEBE,Second,5,8172.0,On foot,FGC,Underground,Yes,Yes,No,Yes,No,No,No,No,3,9.449685862507694,0.3333333333333333,0.0,0.6666666666666666
Man,EEABB,First,4,8031.0,On foot,Underground,Renfe,Yes,No,No,No,Yes,No,No,No,3,6.556434297087386,0.3333333333333333,0.0,0.6666666666666666
Woman,FIB,First,4,8036.0,Tram,,,Yes,Yes,Yes,No,No,No,No,No,1,3.4075132374150914,0.0,0.0,1.0
Man,ETSETB,First,3,8205.0,On foot,FGC,On foot,No,No,Yes,No,No,Yes,No,No,5,16.958798757986184,0.4,0.0,0.6
Man,ETSAB,First,3,8011.0,On foot,Bus,On foot,Yes,Yes,No,No,No,No,No,No,3,4.0258558548027,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSAB,First,5,8140.0,On foot,Bus,Underground,Yes,Yes,No,No,Yes,No,No,No,3,27.48596600900241,0.3333333333333333,0.0,0.6666666666666666
Man,EEBE,First,5,8032.0,Bicycle,Bicycle,Bicycle,Yes,Yes,No,No,No,No,No,No,3,5.693615561251612,1.0,0.0,0.0
Woman,FOOT,First,4,8184.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,Yes,No,Yes,No,No,No,No,1,21.995821142364218,0.0,1.0,0.0
Man,EEBE,Second,5,8034.0,On foot,Underground,On foot,Yes,Yes,Yes,No,No,No,No,No,3,0.8468604032086408,0.6666666666666666,0.0,0.3333333333333333
Man,FIB,Third,4,8014.0,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Yes,Yes,Yes,No,No,No,No,No,3,2.532082851110252,0.0,1.0,0.0
Man,ETSEIB,Fourth,5,8036.0,On foot,Bicycle,Bicycle,Yes,No,Yes,No,No,Yes,No,No,3,3.4075132374150914,1.0,0.0,0.0
Man,ETSECCPB,Fourth,5,8028.0,On foot,Underground,On foot,Yes,Yes,No,No,No,No,No,No,3,1.6130676235951116,0.6666666666666666,0.0,0.3333333333333333
Woman,EEBE,Second,4,8027.0,On foot,Underground,On foot,Yes,No,Yes,No,Yes,No,No,No,3,7.315332171609159,0.6666666666666666,0.0,0.3333333333333333
Man,EETAC,Second,5,8860.0,Renfe,FGC,On foot,Yes,Yes,Yes,No,No,No,No,No,3,20.38020477160429,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSEIB,Fourth,5,8028.0,Bus,Tram,On foot,Yes,Yes,No,Yes,No,No,No,No,3,1.6130676235951116,0.3333333333333333,0.0,0.6666666666666666
Man,EEBE,Third,5,8019.0,On foot,Underground,On foot,Yes,No,No,Yes,No,Yes,No,No,3,8.558476142961334,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSEIB,Third,5,8008.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,No,Yes,No,No,No,No,Yes,No,6,4.237462474813749,0.5,0.5,0.0
Man,ESEIAAT,Third,5,8192.0,On foot,Taxi,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,Yes,Yes,No,No,No,No,No,3,16.34208993516103,0.3333333333333333,0.6666666666666666,0.0
Man,EEBE,Fourth,5,8012.0,Tram,Underground,,Yes,Yes,Yes,No,No,No,No,No,2,4.166350464626095,0.0,0.0,1.0
Woman,EETAC,Third,5,8860.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,No,Yes,No,No,Yes,No,No,1,20.38020477160429,0.0,1.0,0.0
Woman,ETSAB,First,5,8912.0,Underground,Underground,Underground,Yes,Yes,Yes,No,No,No,No,No,3,12.450328346091144,0.0,0.0,1.0
Man,EPSEM,First,5,8840.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,,Yes,No,Yes,No,No,No,No,No,2,11.383637000140949,0.0,0.5,0.5
Woman,EPSEVG,Fourth,3,8290.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Renfe,Yes,No,Yes,No,No,No,No,No,3,11.601900107089728,0.0,0.3333333333333333,0.6666666666666666
Man,EEBE,Third,5,8030.0,Bicycle,Bicycle,Bicycle,Yes,Yes,Yes,No,No,No,No,No,3,8.515615293430308,1.0,0.0,0.0
Man,EPSEM,First,4,8242.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,No,No,Yes,No,No,No,Yes,1,44.90162952906903,0.0,1.0,0.0
Woman,ESEIAAT,Fourth,2,8150.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,No,No,No,No,No,No,Yes,3,21.20478889661135,0.0,1.0,0.0
Man,ESEIAAT,Fourth,1,8170.0,On foot,FGC,On foot,Yes,No,Yes,No,No,No,No,No,3,22.111331254694093,0.6666666666666666,0.0,0.3333333333333333
Woman,EEABB,Fourth,5,8860.0,,,On foot,Yes,No,Yes,No,No,No,No,No,1,20.38020477160429,1.0,0.0,0.0
Woman,ETSAV,Fourth,5,8024.0,Bus,FGC,On foot,Yes,No,Yes,No,No,No,No,No,3,4.785385490636497,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSECCPB,Second,5,8029.0,Bus,Bus,Bus,Yes,Yes,No,No,Yes,No,No,No,3,2.956172645857166,0.0,0.0,1.0
Man,EEBE,Second,4,8027.0,On foot,Underground,Tram,Yes,Yes,No,Yes,No,No,No,No,3,7.315332171609159,0.3333333333333333,0.0,0.6666666666666666
Man,EETAC,Fourth,1,8800.0,On foot,Renfe,On foot,Yes,No,No,Yes,No,No,Yes,No,3,37.70504617773941,0.6666666666666666,0.0,0.3333333333333333
Man,EEBE,Fourth,3,8042.0,On foot,Underground,On foot,Yes,Yes,No,No,No,Yes,No,No,3,8.293966067277841,0.6666666666666666,0.0,0.3333333333333333
Woman,EEABB,First,5,8979.0,On foot,Renfe,,Yes,No,No,No,Yes,Yes,No,No,2,515.0543613445162,0.5,0.0,0.5
Man,FNB,Second,2,8950.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,No,No,Yes,No,Yes,No,No,3,2.4264062428862068,0.0,1.0,0.0
Woman,FME,First,5,8042.0,Bus,Underground,On foot,Yes,Yes,No,No,Yes,No,No,No,3,8.293966067277841,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSECCPB,Third,1,8036.0,Tram,,,No,Yes,Yes,No,No,No,No,No,2,3.4075132374150914,0.0,0.0,1.0
Man,EETAC,Fourth,5,8026.0,On foot,Underground,Renfe,Yes,Yes,No,No,No,No,No,No,3,6.751936546524625,0.3333333333333333,0.0,0.6666666666666666
Man,ETSEIB,First,4,8015.0,On foot,Bus,Underground,No,Yes,No,No,No,No,No,No,5,4.0811379716437495,0.2,0.0,0.8
Man,ETSEIB,Second,3,8030.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,Yes,No,Yes,No,No,No,No,3,8.515615293430308,0.0,1.0,0.0
Man,FIB,First,4,8930.0,Tram,Underground,Bus,No,Yes,No,Yes,No,No,No,No,6,10.12337740984334,0.0,0.0,1.0
Man,EPSEVG,Third,4,8014.0,On foot,Renfe,On foot,Yes,Yes,Yes,No,No,No,No,No,3,2.532082851110252,0.6666666666666666,0.0,0.3333333333333333
Man,FIB,Third,5,8206.0,On foot,FGC,Bus,Yes,No,Yes,Yes,No,No,No,No,3,18.562764355973894,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSAB,First,5,8440.0,On foot,Renfe,Underground,Yes,No,Yes,No,Yes,No,No,No,3,34.772225338745606,0.3333333333333333,0.0,0.6666666666666666
Man,ETSEIB,Third,5,8901.0,Underground,,,Yes,Yes,No,Yes,No,No,No,No,1,2.9728101549659915,0.0,0.0,1.0
Man,ETSEIB,Second,5,8013.0,,,Underground,Yes,No,Yes,No,No,Yes,No,No,1,5.781462018023745,0.0,0.0,1.0
Man,EEBE,Fourth,1,8172.0,On foot,FGC,Underground,Yes,No,Yes,No,No,No,No,No,3,9.449685862507694,0.3333333333333333,0.0,0.6666666666666666
Man,EEBE,First,5,8340.0,On foot,Renfe,Tram,Yes,Yes,No,No,No,Yes,No,No,3,26.325073950760032,0.3333333333333333,0.0,0.6666666666666666
Man,EEBE,Second,5,8870.0,On foot,,Combustion or electric motorcycle with non-renewable source charging,Yes,No,No,Yes,No,No,No,No,2,30.273785003137416,0.5,0.5,0.0
Woman,ESEIAAT,First,5,8225.0,FGC,,,Yes,Yes,No,Yes,No,No,No,No,1,22.64752581936345,0.0,0.0,1.0
Man,EEBE,First,5,8290.0,Bus,Underground,Tram,Yes,Yes,No,No,No,No,No,No,3,11.601900107089728,0.0,0.0,1.0
Woman,EPSEB,Second,4,8028.0,Bus,On foot,Underground,Yes,No,Yes,No,No,No,No,No,3,1.6130676235951116,0.3333333333333333,0.0,0.6666666666666666
Man,ETSEIB,First,5,8014.0,Underground,,,Yes,Yes,No,Yes,No,No,No,No,1,2.532082851110252,0.0,0.0,1.0
Man,ETSAB,First,4,8904.0,Underground,,,Yes,Yes,No,Yes,No,No,No,No,1,1.6737779012254774,0.0,0.0,1.0
Man,ETSEIB,Second,3,8016.0,Underground,On foot,,Yes,Yes,No,No,No,Yes,No,No,2,7.707002026861444,0.5,0.0,0.5
Man,EEBE,Fourth,4,8339.0,Combustion or electric motorcycle with non-renewable source charging,,,Yes,Yes,No,Yes,No,No,No,No,1,25.36952447680372,0.0,1.0,0.0
Man,FME,Third,5,8197.0,Bus,FGC,Bus,Yes,Yes,No,Yes,No,No,No,No,3,9.309087679282344,0.0,0.0,1.0
Man,FIB,First,5,8830.0,Bus,Bus,On foot,Yes,Yes,No,Yes,No,No,No,No,3,7.742302268794167,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSEIB,Fourth,1,8015.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,Yes,No,No,No,No,No,No,3,4.0811379716437495,0.0,1.0,0.0
Man,ETSEIB,First,5,8003.0,On foot,Underground,,Yes,Yes,Yes,No,No,No,No,No,2,5.795446271750349,0.5,0.0,0.5
Man,ETSAB,First,3,8006.0,On foot,Bicycle,On foot,Yes,Yes,Yes,No,No,No,No,No,3,3.502310723990852,1.0,0.0,0.0
Man,ESEIAAT,Third,5,8228.0,On foot,FGC,On foot,Yes,Yes,Yes,No,No,No,No,No,3,17.29910630563116,0.6666666666666666,0.0,0.3333333333333333
Man,EEBE,Fourth,4,8020.0,On foot,Underground,Tram,Yes,No,Yes,No,No,No,No,No,3,8.414853093004373,0.3333333333333333,0.0,0.6666666666666666
Man,ETSECCPB,Second,5,8029.0,Tram,On foot,,Yes,Yes,No,Yes,No,No,No,No,2,2.956172645857166,0.5,0.0,0.5
Woman,ETSAB,First,5,8015.0,On foot,Underground,,Yes,Yes,No,No,No,No,No,No,2,4.0811379716437495,0.5,0.0,0.5
Woman,FME,First,5,8391.0,Renfe,Underground,On foot,Yes,Yes,Yes,No,No,No,No,No,3,16.598206112760472,0.3333333333333333,0.0,0.6666666666666666
Man,FIB,First,4,8028.0,On foot,Underground,On foot,Yes,Yes,No,Yes,No,No,No,No,3,1.6130676235951116,0.6666666666666666,0.0,0.3333333333333333
Woman,EPSEB,Second,4,8013.0,On foot,,Bus,Yes,No,Yes,Yes,No,No,No,No,2,5.781462018023745,0.5,0.0,0.5
Woman,ETSEIB,Fourth,5,8860.0,On foot,Bus,Electric motorcycle,Yes,Yes,No,No,No,No,No,No,3,20.38020477160429,0.3333333333333333,0.3333333333333333,0.3333333333333333
Woman,FIB,First,5,8201.0,On foot,FGC,Bus,No,No,No,No,No,No,No,No,6,17.642274141111475,0.3333333333333333,0.0,0.6666666666666666
Man,ETSETB,Fourth,5,8029.0,Underground,,,Yes,Yes,No,Yes,No,No,No,No,1,2.956172645857166,0.0,0.0,1.0
Woman,EEABB,Fourth,1,8035.0,Underground,Renfe,On foot,No,Yes,No,Yes,No,No,No,No,6,5.506786525149892,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSAB,Third,5,8174.0,FGC,Bus,On foot,Yes,No,No,No,Yes,No,No,No,3,11.697799445055114,0.3333333333333333,0.0,0.6666666666666666
Woman,FOOT,First,4,8757.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,,No,Yes,No,No,No,No,No,Yes,5,16.820622285560397,0.4,0.6,0.0
Woman,ETSETB,First,3,8221.0,FGC,Bus,On foot,Yes,Yes,Yes,No,No,No,No,No,3,21.2645722256118,0.3333333333333333,0.0,0.6666666666666666
Woman,ETSAB,First,3,8940.0,Tram,Tram,Tram,Yes,Yes,No,Yes,No,No,No,No,3,4.031246496663568,0.0,0.0,1.0
Man,FOOT,First,4,8980.0,On foot,Renfe,On foot,Yes,Yes,No,No,No,No,No,No,3,5.285429992578997,0.6666666666666666,0.0,0.3333333333333333
Woman,ETSETB,Second,5,8005.0,Bicycle,Underground,Underground,Yes,Yes,No,No,No,No,No,No,3,7.629993511144085,0.3333333333333333,0.0,0.6666666666666666
Man,FME,Fourth,5,8292.0,Bus,On foot,On foot,Yes,Yes,No,No,Yes,No,No,No,3,25.87727278715144,0.6666666666666666,0.0,0.3333333333333333
Man,EPSEM,First,5,8242.0,On foot,On foot,On foot,Yes,Yes,No,No,Yes,No,No,No,3,44.90162952906903,1.0,0.0,0.0
Man,FIB,First,5,8016.0,On foot,Underground,On foot,Yes,No,Yes,No,Yes,No,No,No,3,7.707002026861444,0.6666666666666666,0.0,0.3333333333333333
Man,ESEIAAT,Fourth,4,8202.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,Yes,No,Yes,No,No,No,No,1,17.529836769264648,0.0,1.0,0.0
Woman,FOOT,Second,4,8042.0,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,Yes,No,Yes,No,No,No,No,3,8.293966067277841,0.6666666666666666,0.3333333333333333,0.0
Non binary,EPSEB,Fourth,5,8029.0,On foot,Underground,Bicycle,Yes,Yes,Yes,No,No,No,No,No,3,2.956172645857166,0.6666666666666666,0.0,0.3333333333333333
Man,ESEIAAT,First,5,8025.0,Bicycle,FGC,On foot,Yes,Yes,Yes,No,No,No,No,No,3,5.515904036968885,0.6666666666666666,0.0,0.3333333333333333
Man,ETSEIB,First,5,8970.0,On foot,Tram,On foot,Yes,Yes,No,No,No,No,No,No,3,4.543343211547399,0.6666666666666666,0.0,0.3333333333333333
Man,EETAC,Fourth,1,8508.0,Bus,Underground,On foot,Yes,No,No,Yes,No,No,No,No,3,69.59261721260161,0.3333333333333333,0.0,0.6666666666666666
Woman,EEBE,Third,4,8018.0,On foot,Tram,On foot,Yes,Yes,Yes,No,No,No,No,No,3,6.962340961738018,0.6666666666666666,0.0,0.3333333333333333
Woman,FIB,Third,5,8560.0,Bus,Underground,On foot,Yes,No,No,No,Yes,No,No,No,3,69.76661200157686,0.3333333333333333,0.0,0.6666666666666666
Man,ETSEIB,First,4,8370.0,On foot,Renfe,Underground,Yes,No,Yes,No,No,Yes,No,No,3,52.18663092633304,0.3333333333333333,0.0,0.6666666666666666
Man,FNB,First,5,8980.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,No,Yes,No,Yes,No,No,No,No,6,5.285429992578997,0.0,1.0,0.0
Woman,ETSAB,Third,5,8290.0,Renfe,Underground,,Yes,Yes,Yes,No,No,No,No,No,2,11.601900107089728,0.0,0.0,1.0
Woman,EPSEVG,First,4,8033.0,,,Renfe,Yes,No,No,No,Yes,No,No,No,1,9.477044951973047,0.0,0.0,1.0
Man,EETAC,Third,5,8014.0,On foot,Renfe,On foot,Yes,No,Yes,Yes,No,No,No,No,3,2.532082851110252,0.6666666666666666,0.0,0.3333333333333333
